"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.135846510E-1,1.837342978E-3,-1.301503181E-2,1.206874847E-2,1.784437088E-2
5.183145470E-1,-7.660657167E-3,1.318596303E-3,7.208824158E-3,1.060148623E-2
5.230444430E-1,-7.555663586E-3,8.398517966E-3,4.766464233E-3,1.226141662E-2
5.277742870E-1,1.865348220E-2,3.529787064E-3,-4.765510559E-3,1.957349958E-2
5.325041820E-1,-4.931390285E-4,-3.605343401E-3,7.135391235E-3,8.009712556E-3
5.372340260E-1,1.133930683E-2,8.294917643E-3,-9.530067444E-3,1.697668176E-2
5.419639220E-1,8.832603693E-3,3.512702882E-3,4.790306091E-3,1.064429434E-2
5.466938180E-1,-1.027861238E-2,3.429175168E-2,-2.608394623E-2,4.429386365E-2
5.514236620E-1,1.110771298E-2,-1.592136919E-3,-3.058242798E-2,3.257608154E-2
5.561535570E-1,6.205469370E-3,-8.709914982E-3,-8.950233459E-3,1.394550638E-2
5.608834010E-1,1.560997963E-2,-3.874033689E-3,-4.122734070E-3,1.660350979E-2
5.656132970E-1,-3.537416458E-3,1.752464473E-2,2.912902832E-2,3.417786973E-2
5.703431930E-1,2.496641874E-2,1.500668377E-2,1.700305939E-2,3.372872146E-2
5.750730370E-1,1.997125149E-2,1.720099896E-2,1.447868347E-2,3.007253774E-2
5.798029320E-1,2.454227209E-2,-4.294216633E-3,1.435089111E-2,2.875259104E-2
5.845328280E-1,3.027617931E-3,-3.034816682E-2,-1.525878906E-5,3.049881855E-2
5.892626720E-1,1.006555557E-2,-6.368197501E-3,9.478569031E-3,1.522210955E-2
5.939925680E-1,-1.887470484E-3,8.180215955E-4,2.126502991E-2,2.136429735E-2
5.987224120E-1,-8.962750435E-3,2.698890865E-2,2.108287811E-2,3.540084512E-2
6.034523070E-1,-1.707404852E-3,-8.807539940E-3,-2.835273743E-3,9.408866474E-3
6.081822030E-1,3.084987402E-3,1.264476776E-2,1.142978668E-2,1.732187411E-2
6.129120470E-1,-4.090279341E-3,-8.816227317E-3,1.839637756E-3,9.891436512E-3
6.176419430E-1,5.795955658E-4,-2.535009384E-2,-7.669448853E-3,2.649119919E-2
6.223717870E-1,5.188882351E-4,-1.091144979E-2,-4.816055298E-4,1.093439186E-2
6.271016820E-1,-1.132607460E-2,-1.080805063E-2,3.038501740E-2,3.418103577E-2
6.318315780E-1,-8.856236935E-3,5.912773311E-3,2.300930023E-2,2.535392905E-2
6.365614220E-1,1.498857141E-2,-1.077304035E-2,1.806735992E-2,2.582915341E-2
6.412913180E-1,7.714062929E-3,-5.951710045E-3,6.048202515E-3,1.146779722E-2
6.460211620E-1,-1.902699471E-3,-1.069638133E-2,-1.536941528E-2,1.882157711E-2
6.507510570E-1,-1.610194147E-2,-8.249841630E-3,-9.965896606E-4,1.811975709E-2
6.554809530E-1,1.970270276E-2,-2.247118950E-2,-8.113861084E-3,3.096749256E-2
6.602107970E-1,-1.129591465E-2,-5.084813386E-2,1.448631287E-3,5.210785869E-2
6.649406930E-1,-8.911997080E-3,4.248887300E-3,2.992916107E-2,3.151557421E-2
6.696705890E-1,1.244553924E-2,-2.868779004E-3,1.068878174E-2,1.665447072E-2
6.744004320E-1,1.466041803E-2,-1.942372322E-2,1.060199738E-2,2.654451410E-2
6.791303280E-1,-1.638127863E-2,-4.976794124E-3,1.019477844E-3,1.715092139E-2
6.838601720E-1,-6.775021553E-3,-1.676514000E-2,3.386497498E-3,1.839671714E-2
6.885900680E-1,7.527351379E-3,-2.851366997E-2,-1.390457153E-3,2.952327497E-2
6.933199640E-1,2.408441901E-2,-9.272664785E-3,-3.752708435E-3,2.607919424E-2
6.980498070E-1,-2.202421427E-3,-6.867207587E-3,-1.559448242E-2,1.718130036E-2
7.027797030E-1,-4.556864500E-3,-2.106897533E-3,1.539802551E-2,1.619577787E-2
7.075095470E-1,2.304315567E-4,-2.106845379E-3,1.764392853E-2,1.777076560E-2
7.122394430E-1,-4.546910524E-3,3.250315785E-4,3.253936768E-3,5.600727214E-3
7.169693390E-1,1.205408573E-2,2.413169295E-2,-1.520156860E-3,2.701759545E-2
7.216991820E-1,4.831969738E-3,1.204160601E-2,-1.575279236E-2,2.040829914E-2
7.264290780E-1,-9.395241737E-3,1.426944882E-2,-1.087474823E-2,2.025210818E-2
7.311589740E-1,7.332175970E-3,-1.103579998E-4,1.085281372E-3,7.412881963E-3
7.358888180E-1,9.646862745E-3,2.124190331E-2,-1.079463959E-2,2.570612107E-2
7.406187140E-1,-4.648596048E-3,6.774790585E-3,1.165390015E-3,8.298515926E-3
7.453485570E-1,-1.175943017E-2,1.625509560E-2,-1.071453094E-2,2.274452691E-2
7.500784530E-1,2.584755421E-3,4.260621965E-3,-1.062488556E-2,1.173550396E-2
7.548083490E-1,-4.586338997E-3,4.179909825E-3,-1.765823364E-2,1.871682043E-2
7.595381930E-1,-6.864309311E-3,1.122155786E-2,-1.039028168E-2,1.676305630E-2
7.642680890E-1,-6.805479527E-3,3.989599645E-3,1.566886902E-3,8.042797491E-3
7.689979320E-1,4.325509071E-4,1.109202951E-2,2.529335022E-2,2.762198009E-2
7.737278280E-1,-4.289537668E-3,1.813375205E-2,4.882335663E-2,5.225852322E-2
7.784577240E-1,5.300760269E-3,8.497007191E-3,3.416919708E-2,3.560661764E-2
7.831875680E-1,-9.015440941E-3,3.689624369E-3,-1.726150513E-3,9.892982307E-3
7.879174640E-1,-8.910238743E-3,-5.853705108E-3,-1.358318329E-2,1.726734161E-2
7.926473070E-1,-1.711905003E-3,-3.475241363E-3,-2.059364319E-2,2.095485770E-2
7.973772030E-1,1.011812687E-2,-1.055550575E-2,-1.567268372E-2,2.143427647E-2
8.021070990E-1,-8.958041668E-3,1.803395152E-2,1.532173157E-2,2.530267528E-2
8.068369430E-1,1.008266211E-2,1.247882843E-3,4.843330383E-2,4.948739442E-2
8.115668390E-1,5.194455385E-3,-3.499843180E-3,1.241970062E-2,1.390971720E-2
8.162966820E-1,-1.632870734E-2,-3.373563290E-3,5.197525024E-3,1.746487558E-2
8.210265780E-1,-4.320263863E-3,-3.422538191E-2,-1.621341705E-2,3.811713971E-2
8.257564740E-1,-1.143413782E-2,1.626081765E-3,-1.370334625E-2,1.792108669E-2
8.304863180E-1,-1.376892626E-2,-7.873088121E-3,-1.716613770E-3,1.595354537E-2
8.352162140E-1,1.246276498E-2,-1.016991585E-2,1.491641998E-2,2.193734908E-2
8.399461090E-1,2.660483122E-2,4.142217338E-3,3.141117096E-2,4.137193094E-2
8.446759530E-1,-9.142339230E-3,-3.059960902E-3,2.402400970E-2,2.588626604E-2
8.494058490E-1,-1.138201356E-2,-7.799506187E-3,-4.667282104E-3,1.456592090E-2
8.541356930E-1,-4.134297371E-3,-5.347132683E-3,-9.378433228E-3,1.156024448E-2
8.588655890E-1,-6.529301405E-3,1.832328737E-3,-1.167201996E-2,1.349908350E-2
8.635954840E-1,-1.782476902E-3,4.173710942E-3,2.671241760E-3,5.266176932E-3
8.683253280E-1,-6.572097540E-3,-1.967773587E-2,2.639102936E-2,3.356921485E-2
8.730552240E-1,5.326271057E-3,-7.659770548E-3,4.041576385E-2,4.147861155E-2
8.777851200E-1,-6.644427776E-3,6.632201374E-3,4.468917847E-3,1.039739113E-2
8.825149640E-1,-1.839429140E-3,-5.310550332E-3,-9.814262390E-3,1.130951770E-2
8.872448590E-1,-1.134750247E-2,-1.952718198E-2,-3.347301483E-2,4.037969007E-2
8.919747030E-1,1.955538988E-2,1.957647502E-3,-2.369594574E-2,3.078544302E-2
8.967045990E-1,2.689331770E-3,-1.704013348E-2,-6.876945496E-3,1.857124211E-2
9.014344950E-1,5.042403936E-3,-2.669990063E-3,3.116607666E-2,3.168404991E-2
9.061643390E-1,1.209595799E-2,-1.453448087E-2,2.853393555E-2,3.423081670E-2
9.108942340E-1,9.593904018E-3,-2.152407914E-2,-1.926422119E-4,2.356620649E-2
9.156240780E-1,9.515583515E-3,-7.115818560E-3,-9.688377380E-3,1.533120542E-2
9.203539740E-1,4.689961672E-3,-4.697613418E-3,-1.673030853E-2,1.799907042E-2
9.250838700E-1,2.307116985E-3,1.434794068E-2,-2.846145630E-2,3.195685662E-2
9.298137140E-1,1.175764203E-2,-2.849382162E-2,-6.856918335E-3,3.157779830E-2
9.345436090E-1,2.192884684E-3,-2.352483571E-2,5.069732666E-3,2.416461933E-2
9.392734530E-1,-4.974931479E-3,1.701497287E-2,-9.217262268E-3,1.998041963E-2
9.440033490E-1,2.189964056E-3,-4.511639476E-3,-2.101039886E-2,2.160064105E-2
9.487332450E-1,-1.679225266E-2,-1.401737332E-2,-2.795886993E-2,3.549880156E-2
9.534630890E-1,-7.097452879E-3,-4.420712590E-3,-3.247737885E-2,3.353649764E-2
9.581929840E-1,-2.260833979E-3,1.218844205E-2,-2.271080017E-2,2.587373058E-2
9.629228280E-1,9.658247232E-3,-1.167210937E-2,-3.201961517E-2,3.542281232E-2
9.676527240E-1,-4.666060209E-3,9.746521711E-3,-1.276016235E-2,1.672090149E-2
9.723826200E-1,4.841983318E-3,7.302120328E-3,-1.502799988E-2,1.739558979E-2
9.771124640E-1,-9.441643953E-3,7.282204926E-3,1.716613770E-3,1.204665563E-2
9.818423590E-1,9.602785110E-3,-4.638254642E-3,4.077911377E-3,1.141736612E-2
9.865722550E-1,-2.404481173E-3,-1.651782542E-2,-1.732254028E-2,2.405598654E-2
9.913020990E-1,-9.238719940E-6,4.998117685E-3,-2.667427063E-2,2.713849626E-2
9.960319950E-1,-1.891592145E-2,4.910506308E-3,-2.170753479E-2,2.920859845E-2
1.000761839E0,-2.137631178E-3,1.909847558E-2,-4.907608032E-3,1.983446125E-2
1.005491734E0,-6.866484880E-3,-7.192298770E-3,-4.866600037E-3,1.107075301E-2
1.010221630E0,-4.405319691E-3,-9.523265064E-3,7.043838501E-3,1.263784317E-2
1.014951474E0,-6.684213877E-3,1.659880579E-2,-4.887580872E-3,1.854959610E-2
1.019681370E0,-2.087208629E-2,3.071708232E-2,-9.822845459E-5,3.713748485E-2
1.024411266E0,-2.547356486E-2,-2.736777067E-3,-9.593009949E-3,2.735723479E-2
1.029141109E0,-6.295531988E-3,1.866432279E-2,-1.188564301E-2,2.300563361E-2
1.033871005E0,-1.464694738E-3,1.845292747E-3,9.579658508E-3,9.865104821E-3
1.038600849E0,8.073866367E-3,1.784704626E-3,9.498596191E-3,1.259348317E-2
1.043330745E0,1.507347822E-2,8.932456374E-3,3.553676605E-2,3.962146216E-2
1.048060589E0,1.263192296E-2,4.036054015E-3,2.574253082E-2,2.895743605E-2
1.052790484E0,3.116488457E-3,1.582302153E-3,3.264713287E-2,3.283369405E-2
1.057520380E0,-4.001826048E-3,-3.223627806E-3,2.050399780E-2,2.113812465E-2
1.062250224E0,-1.593023539E-3,1.812535524E-2,1.320934296E-2,2.248450507E-2
1.066980120E0,3.400507569E-2,1.563958824E-2,-1.301479340E-2,3.962734839E-2
1.071710016E0,-2.085363865E-2,3.650993109E-3,4.407310486E-2,4.889419769E-2
1.076439859E0,-6.462097168E-3,8.409045637E-3,1.521587372E-2,1.854706342E-2
1.081169755E0,1.727733016E-2,-5.894944072E-3,5.307769775E-2,5.612930163E-2
1.085899599E0,2.188298106E-2,1.315908134E-2,4.076385498E-2,4.810112426E-2
1.090629495E0,1.217687130E-2,8.284367621E-3,-2.308845520E-3,1.490763929E-2
1.095359391E0,-2.167850733E-3,-8.391231298E-3,-7.038116455E-3,1.116456102E-2
1.100089234E0,2.156427503E-2,-1.216366887E-3,2.518653870E-3,2.174491028E-2
1.104819130E0,1.426318288E-2,-8.346177638E-3,7.245063782E-3,1.804405764E-2
1.109549026E0,9.396433830E-3,-3.518879414E-3,2.437591553E-3,1.032556699E-2
1.114278870E0,-2.058744431E-4,-8.255355060E-3,7.165908813E-3,1.093359596E-2
1.119008766E0,-4.979580641E-3,8.415721357E-3,1.185607910E-2,1.536838316E-2
1.123738609E0,9.307801723E-3,8.299618959E-3,4.633903503E-3,1.330383063E-2
1.128468505E0,-2.400650084E-2,1.058785617E-2,-3.339195251E-2,4.246689621E-2
1.133198401E0,1.180648804E-2,9.847655892E-4,-2.836418152E-2,3.073905848E-2
1.137928245E0,6.961435080E-3,-1.091017574E-2,-2.575397491E-2,2.882292034E-2
1.142658141E0,-4.993796349E-3,-8.431881666E-3,-1.796722412E-3,9.963073915E-3
1.147388037E0,2.143740654E-3,1.776723564E-2,-4.154205322E-3,1.837192717E-2
1.152117880E0,-9.828627110E-3,-2.029778808E-2,1.012706757E-2,2.472164253E-2
1.156847776E0,-1.686753333E-2,-8.273899555E-3,-6.575584412E-3,1.990500954E-2
1.161577620E0,-2.509206533E-3,6.023190916E-3,-3.263568878E-2,3.328157341E-2
1.166307516E0,-2.388276160E-2,5.984716117E-3,-4.898071289E-2,5.482073845E-2
1.171037359E0,-4.689216614E-3,1.169793308E-3,1.284599304E-3,5.000736366E-3
1.175767255E0,-7.022678852E-3,-1.784913242E-2,-1.297092438E-2,2.315500865E-2
1.180497151E0,1.197341084E-2,-1.056622714E-2,-1.760959625E-2,2.377194993E-2
