"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.097922490E-1,2.129612118E-1,-7.896314561E-2,9.937990189E0,9.940585327E0
5.121571970E-1,2.081755698E-1,-7.896314561E-2,9.937990189E0,9.940483954E0
5.145221440E-1,2.105683982E-1,-7.417750359E-2,9.945169449E0,9.947674940E0
5.168870920E-1,1.962114573E-1,-8.853443712E-2,9.930811882E0,9.933144614E0
5.192520400E-1,2.105683982E-1,-8.374879509E-2,9.928419113E0,9.931004934E0
5.216169880E-1,2.273181528E-1,-8.614161611E-2,9.928419113E0,9.931394666E0
5.239819360E-1,2.105683982E-1,-9.092725813E-2,9.928419113E0,9.931068065E0
5.263468840E-1,2.081755698E-1,-8.374879509E-2,9.928419113E0,9.930954487E0
5.287118320E-1,2.033899277E-1,-9.332008660E-2,9.937990189E0,9.940509297E0
5.310767800E-1,2.201396823E-1,-8.374879509E-2,9.942776680E0,9.945566020E0
5.334417280E-1,2.368894368E-1,-6.221338734E-2,9.928419113E0,9.931439634E0
5.358066760E-1,2.368894368E-1,-5.024927482E-2,9.918848038E0,9.921803666E0
5.381716240E-1,2.225325108E-1,-7.657032460E-2,9.937990189E0,9.940776264E0
5.405365720E-1,2.297109663E-1,-8.135596663E-2,9.933204651E0,9.936193464E0
5.429015190E-1,2.057827413E-1,-8.135596663E-2,9.928419113E0,9.930884725E0
5.452664670E-1,2.129612118E-1,-7.178468257E-2,9.930811882E0,9.933354426E0
5.476314150E-1,2.105683982E-1,-7.657032460E-2,9.937990189E0,9.940515633E0
5.499963630E-1,2.081755698E-1,-7.896314561E-2,9.949954987E0,9.952445754E0
5.523613110E-1,2.273181528E-1,-6.699903309E-2,9.945169449E0,9.947992651E0
5.547262590E-1,2.129612118E-1,-6.939185411E-2,9.959526062E0,9.962044323E0
5.570912070E-1,2.273181528E-1,-7.178468257E-2,9.940383911E0,9.943241870E0
5.594561550E-1,2.057827413E-1,-6.939185411E-2,9.930811882E0,9.933186115E0
5.618211030E-1,2.129612118E-1,-6.699903309E-2,9.921240807E0,9.923752339E0
5.641860510E-1,2.129612118E-1,-6.699903309E-2,9.918848038E0,9.921360176E0
5.665509990E-1,2.105683982E-1,-8.853443712E-2,9.926026344E0,9.928654309E0
5.689159470E-1,2.177468538E-1,-8.614161611E-2,9.930811882E0,9.933572303E0
5.712808940E-1,2.273181528E-1,-8.135596663E-2,9.937990189E0,9.940922559E0
5.736458420E-1,2.249253243E-1,-9.571290761E-2,9.942776680E0,9.945781039E0
5.760107900E-1,2.009970993E-1,-9.092725813E-2,9.930811882E0,9.933261913E0
5.783757380E-1,1.962114573E-1,-8.135596663E-2,9.918848038E0,9.921122120E0
5.807406860E-1,1.986042857E-1,-8.135596663E-2,9.930811882E0,9.933130780E0
5.831056340E-1,2.033899277E-1,-8.614161611E-2,9.935597420E0,9.938052321E0
5.854706340E-1,2.129612118E-1,-7.657032460E-2,9.945169449E0,9.947744009E0
5.878355820E-1,2.153540403E-1,-5.982056633E-2,9.947562218E0,9.950072861E0
5.902005300E-1,2.201396823E-1,-7.896314561E-2,9.930811882E0,9.933565387E0
5.925654780E-1,2.177468538E-1,-7.657032460E-2,9.923633575E0,9.926317547E0
5.949304260E-1,2.177468538E-1,-7.657032460E-2,9.947562218E0,9.950239735E0
